‘ª’è’n“_[mm],R[V],theta[ƒ¦]
248.0,1.57734379510707e-07,-95.3767207020739
250.0,1.2659357258088e-07,-45.2514111461417
252.0,9.18502189319523e-08,-4.40829898897026
254.0,1.3509236063687e-07,7.68175269261282
256.0,1.36398873419831e-07,-9.53372274791005
258.0,7.50247668613202e-08,41.4780263007538
260.0,9.79694212856476e-08,82.8636168110366
262.0,8.53335257450277e-08,54.5724559622494
264.0,1.09174115110788e-07,29.52296921058
266.0,1.36908776287475e-07,18.8389102822472
268.0,7.7793676119084e-08,29.0514378834798
270.0,5.27458125170672e-08,10.7663181658119
272.0,7.89359428120429e-08,-9.39058619235034
274.0,1.14760966721059e-07,-79.3503112587612
276.0,8.50613687164629e-08,-73.9964846267417
278.0,2.53285545177685e-08,76.28905947483
280.0,8.40957612663893e-08,146.257617223144
282.0,1.44372278283055e-07,146.366516593314
284.0,1.62546985327302e-07,150.513509821435
286.0,1.011832742687e-07,177.61747051669
288.0,5.09873561233928e-08,-117.119292459315
290.0,4.79091110719115e-08,-107.783938283595
292.0,4.91121484197733e-08,145.487460797921
294.0,8.50344900239532e-08,139.276376948968
296.0,7.87727108793841e-08,137.729250907365
298.0,1.19627499329609e-07,-166.779616339765
300.0,1.87150391510424e-07,-143.307899850619
302.0,1.41120752310833e-07,-121.414276325977
304.0,1.97553751683685e-07,-83.1770896200312
306.0,1.23907310696081e-07,-107.106030242704
308.0,8.53953115620655e-08,-179.862193956364
310.0,5.80690982234077e-08,-170.278232058789
312.0,1.00659873975849e-07,-143.283671663608
314.0,5.50876680099648e-08,159.424355534048
316.0,3.18759013620116e-08,117.20728596648
318.0,4.29172939609015e-08,-2.98721031756227
320.0,7.79349934605608e-08,29.7253356774103
322.0,1.66253800290339e-07,52.9025181388986
324.0,1.13870320982384e-07,59.0067137442239
326.0,7.54822906537164e-08,-39.6331578091145
328.0,1.89333823584886e-07,-76.8824963490693
330.0,1.43502345414231e-07,-92.5787105737861
332.0,2.75097871124399e-08,135.966125483164
334.0,8.4231205136644e-08,102.387092792336
336.0,1.16412860660569e-07,84.0772913786682
338.0,2.97677044770788e-08,150.017615064927
340.0,4.66637438459477e-08,-102.698490548667
342.0,6.71657391677857e-08,-21.6617488555788
344.0,1.46408037813256e-07,4.16729924593307
346.0,7.79304662879979e-08,-20.7870695767173
348.0,4.40890731681123e-08,-23.792190847577
350.0,4.44114897338009e-09,169.550871395512
352.0,5.33072035134756e-08,-152.300720134313
354.0,4.5247305919264e-08,127.272451309061
356.0,3.59597441458429e-08,81.9427845968687
358.0,8.62763953922262e-08,128.708337988051
360.0,1.45262585597861e-07,115.304179727016
362.0,9.56344663153913e-08,110.931385581466
364.0,1.55098746666248e-07,156.646384408421
366.0,1.85820930186043e-07,151.426142799199
368.0,1.00356460192269e-07,176.499944425642
370.0,3.82943598153093e-08,-67.943635487081
372.0,3.56289156148359e-08,-50.8564550823399
374.0,3.75139538732531e-08,-140.108185095465
376.0,1.64251327666624e-07,-171.172534384614
378.0,1.91371709913073e-07,-164.246969516933
380.0,2.73804266071261e-08,155.178502695937
382.0,1.0481479752935e-07,72.4133948430939
384.0,1.31474437687856e-07,19.040749034112
386.0,1.28602867259849e-07,32.7236527804235
388.0,6.26566608274183e-08,37.8359201916659
390.0,1.23675460801e-08,-114.237573718528
392.0,4.58903572210941e-08,-28.0252826900116
394.0,7.84860734915267e-08,-39.0136019428184
396.0,1.11286956372981e-07,-36.9858934243493
398.0,1.83652916233583e-07,-56.9665489017894
400.0,2.20658239420841e-07,-72.3306101946181
402.0,1.12651165075823e-07,-87.9585962328064
404.0,7.95662947878515e-08,-91.0391265869048
406.0,1.0221423602613e-07,-56.7040834328789
408.0,9.98438375098289e-08,-23.5230721435422
410.0,8.53101852680192e-08,68.8904699419594
412.0,7.30866228095384e-08,77.463908445244
414.0,7.5903129032811e-08,57.2339151314883
416.0,4.17621405182803e-08,95.0140113916237
418.0,1.02042377935326e-07,123.807841077859
420.0,1.20685052669971e-07,118.512729163664
422.0,1.33348970771143e-07,119.029597348426
424.0,1.00741311952759e-07,150.73762929862
